wojewodztwo;total_tenders;gdp_mln_pln;przetargi_na_mln_gdp
Mazowieckie;91898;811168.0;0.1133
Małopolskie;47809;275613.0;0.1735
Śląskie;47023;404848.0;0.1161
Wielkopolskie;41803;335573.0;0.1246
Dolnośląskie;36298;282957.0;0.1283
Lubelskie;32420;123628.0;0.2622
Łódzkie;30341;206332.0;0.147
Pomorskie;29471;204734.0;0.1439
Podkarpackie;29010;129230.0;0.2245
Kujawsko-pomorskie;26891;143435.0;0.1875
Zachodniopomorskie;22245;121257.0;0.1835
Warmińsko-mazurskie;19835;84395.0;0.235
Podlaskie;18300;76738.0;0.2385
Świętokrzyskie;18060;77531.0;0.2329
Opolskie;13748;66706.0;0.2061
Lubuskie;12681;71128.0;0.1783
