wojewodztwo;total_tenders;gdp_mln_pln;ludnosc;gdp_per_capita_pln;suma_przetargow
Mazowieckie;91898;811168.0;5510527;147203.34;91898
Dolnośląskie;36298;282957.0;2879271;98273.83;36298
Wielkopolskie;41803;335573.0;3487973;96208.6;41803
Śląskie;47023;404848.0;4320130;93711.99;47023
Łódzkie;30341;206332.0;2362519;87335.59;30341
Pomorskie;29471;204734.0;2359573;86767.39;29471
Małopolskie;47809;275613.0;3429632;80362.27;47809
Zachodniopomorskie;22245;121257.0;1631784;74309.47;22245
Lubuskie;12681;71128.0;975023;72950.07;12681
Kujawsko-pomorskie;26891;143435.0;1996003;71861.11;26891
Opolskie;13748;66706.0;936725;71211.94;13748
Podlaskie;18300;76738.0;1138216;67419.54;18300
Świętokrzyskie;18060;77531.0;1168499;66350.93;18060
Podkarpackie;29010;129230.0;2071676;62379.45;29010
Warmińsko-mazurskie;19835;84395.0;1357910;62150.66;19835
Lubelskie;32420;123628.0;2011047;61474.45;32420
