wojewodztwo;total_tenders;ludnosc;przetargi_na_100k_mieszkancow
Mazowieckie;91898;5510527;1667.68
Małopolskie;47809;3429632;1394.0
Śląskie;47023;4320130;1088.46
Wielkopolskie;41803;3487973;1198.49
Dolnośląskie;36298;2879271;1260.67
Lubelskie;32420;2011047;1612.1
Łódzkie;30341;2362519;1284.26
Pomorskie;29471;2359573;1249.0
Podkarpackie;29010;2071676;1400.32
Kujawsko-pomorskie;26891;1996003;1347.24
Zachodniopomorskie;22245;1631784;1363.23
Warmińsko-mazurskie;19835;1357910;1460.7
Podlaskie;18300;1138216;1607.78
Świętokrzyskie;18060;1168499;1545.57
Opolskie;13748;936725;1467.67
Lubuskie;12681;975023;1300.58
