year;rank;cpv_code_description;tender_count
2021;1;45000000-7 (Roboty budowlane);8496
2021;2;45233140-2 (Roboty drogowe);1586
2021;3;45233120-6 (Roboty w zakresie budowy dróg);1558
2021;4;71320000-7 (Usługi inżynieryjne w zakresie projektowania);1301
2021;5;45453000-7 (Roboty remontowe i renowacyjne);954
2021;6;45233220-7 (Roboty w zakresie nawierzchni dróg);807
2021;7;79710000-4 (Usługi ochroniarskie);805
2021;8;45233142-6 (Roboty w zakresie naprawy dróg);797
2021;9;90500000-2 (Usługi związane z odpadami);758
2021;10;90620000-9 (Usługi odśnieżania);728
2022;1;45000000-7 (Roboty budowlane);13676
2022;2;45233120-6 (Roboty w zakresie budowy dróg);2195
2022;3;45233140-2 (Roboty drogowe);2194
2022;4;71320000-7 (Usługi inżynieryjne w zakresie projektowania);1954
2022;5;30200000-1 (Urządzenia komputerowe);1398
2022;6;79710000-4 (Usługi ochroniarskie);1331
2022;7;30213100-6 (Komputery przenośne);1195
2022;8;45233220-7 (Roboty w zakresie nawierzchni dróg);1171
2022;9;45453000-7 (Roboty remontowe i renowacyjne);1143
2022;10;45200000-9 (Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej);1053
2023;1;45000000-7 (Roboty budowlane);11776
2023;2;45233140-2 (Roboty drogowe);2305
2023;3;45233120-6 (Roboty w zakresie budowy dróg);2197
2023;4;71320000-7 (Usługi inżynieryjne w zakresie projektowania);1497
2023;5;79710000-4 (Usługi ochroniarskie);1319
2023;6;45233220-7 (Roboty w zakresie nawierzchni dróg);1274
2023;7;45233142-6 (Roboty w zakresie naprawy dróg);1102
2023;8;33140000-3 (Materiały medyczne);981
2023;9;45453000-7 (Roboty remontowe i renowacyjne);973
2023;10;33100000-1 (Urządzenia medyczne);958
2024;1;45000000-7 (Roboty budowlane);12643
2024;2;45233140-2 (Roboty drogowe);1793
2024;3;45233120-6 (Roboty w zakresie budowy dróg);1780
2024;4;71320000-7 (Usługi inżynieryjne w zakresie projektowania);1626
2024;5;45453000-7 (Roboty remontowe i renowacyjne);1480
2024;6;79710000-4 (Usługi ochroniarskie);1449
2024;7;45233142-6 (Roboty w zakresie naprawy dróg);1072
2024;8;90500000-2 (Usługi związane z odpadami);1018
2024;9;33140000-3 (Materiały medyczne);1013
2024;10;45233220-7 (Roboty w zakresie nawierzchni dróg);994
2025;1;45000000-7 (Roboty budowlane);12315
2025;2;71320000-7 (Usługi inżynieryjne w zakresie projektowania);1978
2025;3;45233140-2 (Roboty drogowe);1545
2025;4;45233120-6 (Roboty w zakresie budowy dróg);1418
2025;5;45453000-7 (Roboty remontowe i renowacyjne);1394
2025;6;79710000-4 (Usługi ochroniarskie);1316
2025;7;31122000-7 (Jednostki prądotwórcze);1212
2025;8;80000000-4 (Usługi edukacyjne i szkoleniowe);1196
2025;9;34110000-1 (Samochody osobowe);1160
2025;10;30200000-1 (Urządzenia komputerowe);1080
