wojewodztwo;cpv_code;cpv_description;liczba_przetargow
Dolnośląskie;45000000-7;Roboty budowlane;980
Dolnośląskie;79710000-4;Usługi ochroniarskie;129
Dolnośląskie;45233120-6;Roboty w zakresie budowy dróg;119
Dolnośląskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;114
Dolnośląskie;15100000-9;Produkty zwierzęce, mięso i produkty mięsne;91
Kujawsko-pomorskie;45000000-7;Roboty budowlane;710
Kujawsko-pomorskie;66510000-8;Usługi ubezpieczeniowe;212
Kujawsko-pomorskie;45233140-2;Roboty drogowe;100
Kujawsko-pomorskie;45453000-7;Roboty remontowe i renowacyjne;98
Kujawsko-pomorskie;45233120-6;Roboty w zakresie budowy dróg;78
Lubelskie;45000000-7;Roboty budowlane;799
Lubelskie;45233120-6;Roboty w zakresie budowy dróg;125
Lubelskie;90500000-2;Usługi związane z odpadami;109
Lubelskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;103
Lubelskie;45200000-9;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej;94
Lubuskie;45000000-7;Roboty budowlane;352
Lubuskie;45200000-9;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej;55
Lubuskie;45233140-2;Roboty drogowe;49
Lubuskie;79710000-4;Usługi ochroniarskie;45
Lubuskie;45233120-6;Roboty w zakresie budowy dróg;43
Mazowieckie;45000000-7;Roboty budowlane;1979
Mazowieckie;79710000-4;Usługi ochroniarskie;318
Mazowieckie;45233120-6;Roboty w zakresie budowy dróg;312
Mazowieckie;45453000-7;Roboty remontowe i renowacyjne;292
Mazowieckie;71320000-7;Usługi inżynieryjne w zakresie projektowania;231
Małopolskie;45000000-7;Roboty budowlane;891
Małopolskie;45233140-2;Roboty drogowe;228
Małopolskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;191
Małopolskie;33600000-6;Produkty farmaceutyczne;187
Małopolskie;45453000-7;Roboty remontowe i renowacyjne;186
Opolskie;45000000-7;Roboty budowlane;345
Opolskie;33140000-3;Materiały medyczne;54
Opolskie;45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;39
Opolskie;79710000-4;Usługi ochroniarskie;36
Opolskie;80000000-4;Usługi edukacyjne i szkoleniowe;36
Podkarpackie;45000000-7;Roboty budowlane;879
Podkarpackie;45233140-2;Roboty drogowe;161
Podkarpackie;71320000-7;Usługi inżynieryjne w zakresie projektowania;125
Podkarpackie;45453000-7;Roboty remontowe i renowacyjne;94
Podkarpackie;90620000-9;Usługi odśnieżania;85
Podlaskie;45000000-7;Roboty budowlane;402
Podlaskie;45233120-6;Roboty w zakresie budowy dróg;199
Podlaskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;81
Podlaskie;45233220-7;Roboty w zakresie nawierzchni dróg;77
Podlaskie;09135100-5;Olej opałowy;69
Pomorskie;45000000-7;Roboty budowlane;727
Pomorskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;122
Pomorskie;45233120-6;Roboty w zakresie budowy dróg;103
Pomorskie;15800000-6;Różne produkty spożywcze;87
Pomorskie;45453000-7;Roboty remontowe i renowacyjne;83
Warmińsko-mazurskie;45000000-7;Roboty budowlane;422
Warmińsko-mazurskie;45233120-6;Roboty w zakresie budowy dróg;104
Warmińsko-mazurskie;45233140-2;Roboty drogowe;93
Warmińsko-mazurskie;45233220-7;Roboty w zakresie nawierzchni dróg;79
Warmińsko-mazurskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;70
Wielkopolskie;45000000-7;Roboty budowlane;994
Wielkopolskie;45233140-2;Roboty drogowe;279
Wielkopolskie;45453000-7;Roboty remontowe i renowacyjne;159
Wielkopolskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;140
Wielkopolskie;45233120-6;Roboty w zakresie budowy dróg;130
Zachodniopomorskie;45000000-7;Roboty budowlane;555
Zachodniopomorskie;45233220-7;Roboty w zakresie nawierzchni dróg;75
Zachodniopomorskie;79710000-4;Usługi ochroniarskie;69
Zachodniopomorskie;45233120-6;Roboty w zakresie budowy dróg;68
Zachodniopomorskie;45453000-7;Roboty remontowe i renowacyjne;64
Łódzkie;45000000-7;Roboty budowlane;951
Łódzkie;45233140-2;Roboty drogowe;130
Łódzkie;45233120-6;Roboty w zakresie budowy dróg;127
Łódzkie;79710000-4;Usługi ochroniarskie;87
Łódzkie;71320000-7;Usługi inżynieryjne w zakresie projektowania;83
Śląskie;45000000-7;Roboty budowlane;1270
Śląskie;15000000-8;Żywność, napoje, tytoń i produkty pokrewne;169
Śląskie;79710000-4;Usługi ochroniarskie;164
Śląskie;45233140-2;Roboty drogowe;127
Śląskie;45233120-6;Roboty w zakresie budowy dróg;125
Świętokrzyskie;45000000-7;Roboty budowlane;387
Świętokrzyskie;45233140-2;Roboty drogowe;110
Świętokrzyskie;33140000-3;Materiały medyczne;101
Świętokrzyskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;95
Świętokrzyskie;80000000-4;Usługi edukacyjne i szkoleniowe;77
